,Country,Happiness_score,pf_rol,pf_ss,pf_movement,pf_religion,pf_association,pf_expression,pf_identity,ef_government,ef_legal,ef_money,ef_trade,ef_regulation,Country_Code,2017,Hours
0,Finland,7.769,8.6,9.8,10,7.9,10,9.7,9,4.7,8.8,9.4,8.2,7.9,FIN,8.640000343,
1,Denmark,7.6,8.7,9.8,10,7.7,9.5,8.9,10,4.7,8.1,9.8,8.5,8.4,DNK,5.743000031,
2,Norway,7.554,8.6,9.9,10,7.4,10,9.8,9.2,4.9,8.5,9.6,7.6,7.6,NOR,4.162000179,34
3,Iceland,7.494,7.8,9.9,10,8.1,10,9.6,9,5.8,8.4,9.5,7.3,7.7,ISL,2.742000103,
4,Netherlands,7.488,8.5,9.9,10,8.9,10,9.7,8.2,4.3,8.1,9.4,8.7,8.1,NLD,4.839000225,
5,Switzerland,7.48,8.3,9.9,10,8.2,10,9.7,9,7.6,8.4,9.9,7.6,8.5,CHE,4.796999931,34.5
6,Sweden,7.343,8.5,9.8,10,8.9,10,9.7,10,4.5,7.7,9.3,8.2,8,SWE,6.717999935,
7,New Zealand,7.307,7.9,9.9,10,9.7,10,9.5,9,6.6,8.6,9.5,8.6,9.1,NZL,4.702000141,37
8,Canada,7.278,7.7,9.7,10,9,10,9.5,10,6.5,7.8,9.6,7.9,8.6,CAN,6.340000153,35.7554
9,Austria,7.246,8.2,9.9,10,7.9,10,9.3,10,5.7,7.9,9.4,8.1,7.5,AUT,5.499000072,
10,Australia,7.228,7.8,9.9,10,9.1,10,9.4,9,7,7.9,9.5,7.6,8.5,AUS,5.593999863,35.947195
11,Costa Rica,7.167,6.6,7.5,10,8.1,9.5,9.6,7.3,7,5.8,9.8,8,6.5,CRI,8.142000198,43.4837
12,Israel,7.139,6.8,9,6.7,5.9,10,8.5,6.3,6.5,6.2,9.4,8.2,7.4,ISR,4.215000153,40.5259
13,Luxembourg,7.09,8,10,10,9.1,10,9.7,9,5.4,8.3,9.4,8.3,7.9,LUX,5.521999836,37.4
14,United Kingdom,7.054,7.7,9.3,10,7.6,10,9.3,9,6.2,7.8,9.7,8.4,8.4,GBR,4.335000038,36.62
15,Ireland,7.021,7.5,9.7,10,9.1,7.5,9.5,10,6.7,7.5,9.5,8.6,8.4,IRL,6.710000038,
16,Germany,6.985,8.3,9.9,10,7.7,10,9.4,10,6.2,7.4,9.5,8,8,DEU,3.746000051,35.2
17,Belgium,6.923,7.8,9.8,10,8.1,10,9.8,9,4.9,7.1,9.5,8.2,8,BEL,7.085999966,
18,United States,6.892,6.9,9.1,10,8.9,10,9.3,9,7.2,7.4,9.8,7.7,8.9,USA,4.355000019,
19,Czech Republic,6.852,,,,,,,,,,,,,CZE,2.890000105,
20,United Arab Emirates,6.825,6.4,7.7,4.2,4.7,0.5,6.3,0,5.8,5.7,9.1,8,7.2,ARE,2.463000059,
21,Malta,6.726,7,9.8,10,8.4,10,8,9.2,7.1,6.5,9.5,8.4,8.3,MLT,4.566999912,38
22,Mexico,6.595,3.9,5.4,10,7.6,8.5,7.7,6.7,7.9,4.2,7.9,7.6,7,MEX,3.420000076,46.2767
23,France,6.592,6.8,9.4,10,7.3,10,9.3,10,4.8,7,9.5,8.2,7.3,FRA,9.397000313,
24,Taiwan Province of China,6.446,,,,,,,,,,,,,TWN,,
25,Chile,6.444,6.5,9.4,10,9.3,10,9.2,5.8,8.2,6.4,9.5,8.3,7,CHL,6.958000183,41.4268
26,Guatemala,6.436,4,5.9,10,8.5,7.5,8.2,6.7,9.4,4.3,9.5,8,6.5,GTM,2.684000015,42.7364
27,Saudi Arabia,6.375,5.3,7.6,0,3.2,2,5.6,0,5.2,5.3,9,6.3,6.8,SAU,5.889999866,44.1
28,Qatar,6.374,6.3,8.3,1.7,4.7,2.5,7,0,5.7,6.1,8.5,7.5,7.5,QAT,0.140000001,50
29,Spain,6.354,7,9.4,10,8,9.5,9.2,9,6.1,6.8,9.4,8.1,7.5,ESP,17.22400093,37.86
